編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
2032,新鋼,未知,0.36,0.29,0.19|0.02|0.04|0.18|,0.46,22.83,0.35,0,0.37,2.18,3.52,5.29,10.5,58.11,66.62,9.87|10.2|9.93|9.04|8.55|,2020/8,N,N,N
2033,佳大,未知,0.45,0.36,-0.02|0.45|0.03|0.04|,0.14,72.86,0.2,0,0.11,2,1.08,1.57,10.2,23.71,36.66,9.23|9.2|11.96|9.49|9.1|,2020/8,N,N,Y
2034,允強,未知,1.53,1.8,0.49|-0.07|0.35|0.34|,1.3,18.19,1.5,0,1.11,4.61,4.69,15.86,23.65,49.9,55.37,23.51|25.88|25.95|26.09|24.09|,2020/8,N,N,N
2049,上銀,未知,5.89,8.8,1.26|-0.01|-0.42|1.83|,2.14,149.77,1.8,0.3,0.75,1.42,0.23,10.71,320.5,40.73,46.72,143.92|235.52|325.79|261.49|290.24|,2020/8,N,N,N
2059,川湖,電子零組件業,16.35,16.24,4.66|3.33|4.8|1.75|,14.17,21.49,8,0,7.08,2.28,2.33,101.14,304.5,53.82,39.03,383.72|416.8|394.9|336.17|329.19|,2020/8,N,N,N
2062,橋椿,其他業,0.43,2.17,0.18|0.01|-0.69|-0.53|,-2.61,-10.13,0.1,0,-0.9,0.94,-3.4,-12.86,26.45,26.02,39.75,41.87|40.97|35.22|31.88|22.69|,2020/8,N,N,N
2063,世鎧,未知,3.36,2.5,0.81|0.72|0.68|0.41|,2.32,13.73,2.5,0,1.91,5.67,6,27.29,31.85,38.97,46.16,28|30.7|37.43|38.01|34.07|,2020/8,N,N,N
2064,晉椿,未知,-0.82,0.74,-0.23|-0.51|-0.65|-0.58|,-2.42,-5.21,0.6,0,-2.01,4.95,-15.95,-28.71,12.6,-180.55,-175.82,16.49|17.94|17.16|14.19|11.77|,2020/8,N,N,Y
2065,世豐,未知,4.26,2.84,1.28|0.5|1.14|0.94|,3.58,16.09,2.8,1.87,3.49,4.18,6.06,49.86,57.6,57.46,59.23,31.77|27.38|38.97|52.18|,2020/8,N,N,N
2066,世德,未知,4.49,5.29,0.55|0.33|0.77|-0.33|,-0.15,-337.33,2.32,0,-0.11,3.37,-0.22,-1.57,50.6,36.2,42.83,112.83|101.99|83.43|77.05|53.87|,2020/8,N,N,N
