編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
3645,達邁,電子零組件業,0.82,1.86,0.24|0.07|0.36|0.8|,2.76,24.31,0.5,0,1.63,2.14,2.43,23.29,67.1,50.74,46.13,29.34|45.95|67.87|50.72|43.06|,2020/8,N,N,N
3646,艾恩特,電子零組件業,1.13,0.87,0.43|0.69|0.03|0.56|,1.31,14.81,0.85,0,2.33,5.05,12.01,33.29,19.4,46.34,54.7,15.16|22.31|18.8|18.19|16|,2020/8,Y,N,N
3652,精聯,未知,0.35,0.59,0.24|0.47|-0.25|-0.18|,-0.9,-22.06,0.14,0,-1.04,2.95,-5.24,-14.86,19.85,66.22,69.12,19.44|23.16|21.34|16.64|17.13|,2020/8,N,N,N
3653,健策,電子零組件業,6.55,3.56,1.63|1.81|2.14|2.11|,8.92,32.74,5,0,8.12,3.09,2.78,116,292,19.96,22.35,47.49|68.7|68.9|132.67|245.62|,2020/8,N,N,Y
3661,世芯-KY,半導體業,7.2,4.64,1.93|2.34|2.87|3.14|,14.53,31.52,3.45,0,4.23,1.19,0.92,60.43,458,20.97,16.68,30.33|68.16|109.82|123.13|356.16|,2020/8,N,N,Y
3663,鑫科,其他電子業,1.62,0.82,0.26|0.05|0.14|0.13|,0.64,30,1,0,0.64,3.28,3.33,9.14,19.2,65.14,60,16.81|16.9|19.65|18.81|18.91|,2020/8,N,N,N
3665,貿聯-KY,其他電子業,15.54,11.07,4.48|4.08|1.81|3.86|,13.09,17.95,9,0,8.59,3.22,3.66,122.71,235,19.41,33.81,171.7|227.17|210.84|211.96|202.89|,2020/8,N,N,Y
3669,圓展,未知,0.79,0.57,0.36|0.57|0.09|0.75|,2.44,48.98,0.5,0,1.74,2.14,1.46,24.86,119.5,27.82,38.12,18.47|20.8|19.1|17.23|44.19|,2020/8,N,N,N
3672,康聯訊,未知,-1.2,0.99,-0.46|-0.6|-0.33|0.09|,-0.56,-32.68,0.21,0,-0.31,2.98,-1.69,-4.43,18.3,52.81,60.96,32.65|28.5|19.67|16.09|14.11|,2020/8,N,N,N
3675,德微,半導體業,2.3,2.43,0.68|0.53|0.51|0.81|,2.46,27.64,1.3,0,1.91,3.9,2.81,27.29,68,34.64,43.27,25.44|52.56|46.28|42.6|54.99|,2020/8,N,N,N
3679,新至陞,電子零組件業,5.42,5.23,3.04|1.69|0.62|3.77|,11.46,8.64,4,0,10.86,7.2,10.97,155.14,99,67.87,65.84,58.58|78.78|70.18|53.6|66.52|,2020/8,Y,Y,N
3680,家登,半導體業,3.25,0.89,0.87|0.53|0.15|1.64|,4.43,60.5,1.08,0,5.13,0.86,1.91,73.29,268,50.39,40.07,31.17|35.2|34.44|71.69|208.16|,2020/8,N,N,N
3684,榮昌,未知,4.64,3.45,2.56|0.55|0.56|0.6|,2.41,15.19,2.15,0,1.73,5.84,4.73,24.71,36.6,72.19,61.8,46.56|38.7|35.02|33.21|36.69|,2020/8,N,N,N
3685,元創精密,未知,0.25,0.69,0.05|0.14|-0.12|-0.12|,-0.53,-37.92,0.2,0,-0.37,1.23,-1.84,-5.29,20.1,52.38,44.69,59.04|57.94|55.69|31.6|20.21|,2020/8,N,N,N
3687,歐買尬,未知,0.12,0.12,0.16|0.27|0.31|0.38|,0.28,177.68,0.07,0,0.16,0.11,0.32,2.29,49.75,21.56,19.71,53.56|41.87|30.16|29.91|46.65|,2020/8,N,N,Y
3689,湧德,電子零組件業,0.77,2.25,0.59|0.21|-0.42|1.72|,2405.18,0.01,0.5,0,1511.29,4.34,4586.62,21589.86,32.95,20.16,17.03,29.93|43.72|34.68|26.98|26.07|,2020/8,N,N,Y
3691,碩禾,未知,3.07,16.42,1.31|-1.37|-0.89|-0.89|,94.46,1.32,2,0,16.86,3.6,13.54,240.86,124.5,56.32,65.77,482.65|283.22|156.82|105.5|105.57|,2020/8,N,N,N
3702,大聯大,電子通路業,3.84,3.72,1.06|1.03|0.99|1.19|,4.96,8.05,2.4,0,3.32,5.8,8.31,47.43,39.95,20.74,24.28,36.08|39.96|39.37|39.28|39.13|,2020/8,Y,Y,Y
3703,欣陸,建材營造業,0.12,0.95,-0.63|-0.18|0.43|0.47|,1.31,15.27,0.5,0,1.76,4.46,8.8,25.14,20,54.47,69.31,10.53|12.15|14.11|15.24|13.04|,2020/8,Y,N,N
3705,永信,未知,2.81,2.64,0.51|0.9|0.96|0.64|,3.31,13.35,2.2,0,2.62,4.56,5.93,37.43,44.2,35.5,34.03,47.2|42.61|40.4|41.92|45.26|,2020/8,N,N,N
3706,神達,未知,2.52,2.82,0.89|0.77|0.47|0.56|,1.85,15.59,1,1.2,1.06,4.54,3.67,15.14,28.85,63.74,57.45,26.71|35.24|31.1|29.23|30.17|,2020/8,N,N,N
3708,上緯投控,未知,8.97,5.8,0.5|3.94|0.49|2.73|,16.91,9.25,4,0,14.68,3.41,9.38,209.71,156.5,69.12,74.61,84.88|75.65|85.82|87.24|87.14|,2020/8,Y,N,N
3709,鑫聯大投控,未知,1.82,1.1,0.43|0.62|0.35|0.65|,2.74,7.94,1,0,3.33,4.06,15.31,47.57,21.75,46.65,62.56,20.9|20.43|19.15|20.84|,2020/8,Y,N,N
3711,日月光投控,半導體業,3.96,5.18,1.35|1.5|0.92|1.63|,5.55,11.17,2,0,2.53,3.22,4.08,36.14,62,70.06,58.13,69.69|69.2|67.74|,2020/8,N,N,N
4104,佳醫,未知,4.02,3.41,1.12|0.91|0.99|1.04|,4.47,12.57,3.3,0,3.82,5.32,6.8,54.57,56.2,24.16,27.73,48.44|45.93|47.38|51.04|55.3|,2020/8,N,N,Y
4105,東洋,未知,3.62,4.92,1.27|0.13|1.02|0.75|,3.47,19.48,4,0,2.9,4.34,4.29,41.43,67.6,25.14,26.96,111.05|99.54|91.91|81.34|72.74|,2020/8,N,N,N
4106,雃博,未知,0.87,1.4,0.12|0.19|0.07|0.55|,1.23,26.1,0.45,0,0.64,2.38,1.99,9.14,32.1,19.2,25.23,37.44|31.02|27.06|25.22|30.03|,2020/8,N,N,Y
4107,邦特,未知,6.7,5.23,1.64|1.49|1.57|1.56|,6.48,21.68,4,0,4.38,2.95,3.12,62.57,140.5,71.6,53.59,144.48|96.02|101.24|122.21|127.41|,2020/8,N,N,N
4111,濟生,未知,1.27,1.08,0.29|0.37|0.46|0.29|,1.47,16.94,1,0,0.97,2.98,3.9,13.86,24.9,24.27,31.4,23.22|24.25|25.11|25.06|26.33|,2020/8,N,N,Y
4116,明基醫,未知,1.69,1.67,0.44|0.52|0.18|0.19|,0.76,41.84,1.35,0,0.58,2.94,1.82,8.29,31.8,78.25,77.96,51.98|38.24|32.54|36.73|32.53|,2020/8,N,N,N
4119,旭富,未知,7.19,5.15,2.01|1.14|2.62|3.04|,10.81,11.38,5.8,0,8.68,4.37,7.06,124,123,21.75,36.28,82.45|67.33|68.1|96.21|126.21|,2020/8,Y,Y,Y
4120,友華,未知,2.86,3.79,0.36|0.38|1.36|1.48|,8.64,6.1,1.8,0,5.01,3.15,9.51,71.57,52.7,12.68,21.24,56.9|71.61|65.54|57.78|49.89|,2020/8,Y,N,Y
4121,優盛,未知,0.35,0.32,0.06|0.17|0.25|0.35|,1.67,10.9,0.2,0,1,1.34,5.49,14.29,18.2,15.03,17.18,13.97|11.73|12.74|11.22|18.06|,2020/8,N,N,Y
4123,晟德,未知,-0.64,3.5,0.07|-0.26|0.51|3.02|,8.73,8.64,1.43,0.48,1.5,1.27,1.99,21.43,75.4,26.54,41.11,66.76|56.49|66.92|72.42|61.32|,2020/8,N,N,N
4126,太醫,未知,6.95,4.84,1.26|3.4|1|1.51|,4.48,15.98,4,1,2.78,3.5,3.88,39.71,71.6,17.7,13.89,93.88|78.77|71.83|78.86|78.45|,2020/8,N,N,Y
4129,聯合,未知,1.05,1.76,0.2|0.07|-0.17|0|,0.06,566.67,0.82,0,0.05,2.5,0.15,0.71,34,22.79,25.03,72.1|67.57|54.29|46.51|35.46|,2020/8,N,N,Y
4133,亞諾法,未知,0.05,0.69,0.01|0.03|0.13|0.07|,0.39,181.28,0.1,0,0.38,1.5,0.54,5.43,70.7,16.74,19.83,33.8|36.81|34.57|28.49|58.95|,2020/8,N,N,Y
4137,麗豐-KY,未知,18.02,12.94,4.31|4.75|1.21|3.13|,9.72,19.6,13.05,0,7.64,4.8,4.01,109.14,190.5,12.91,24.19,200.68|133.07|225.56|252.85|199.82|,2020/8,N,N,Y
4138,曜亞,未知,3.75,3.8,0.75|1.04|1.15|0.88|,3.45,14.07,3.35,0,3.08,6.1,6.34,44,48.55,60.42,65.56,59.79|53.66|52.03|49.28|48.34|,2020/8,N,N,N
4139,馬光-KY,未知,1.61,0.36,0.12|2.08|0.02|0.59|,1.74,33.62,1.26,0.14,0.34,0.77,0.58,4.86,58.5,79.33,62.03,49.55|48.69|61.02|41.2|45.64|,2020/8,N,N,N
4144,康聯-KY,未知,1.13,2.45,-0.29|0.14|-0.26|-0.67|,-2.8,-9.57,0.33,0,-1.11,2.14,-4.14,-15.86,26.8,89.35,79.98,47.81|40.95|34.68|28.95|24.93|,2020/8,N,N,N
4148,全宇生技-KY,未知,0.56,3.54,0.1|0.02|-0.41|0.6|,0.51,74.71,1,0,0.47,3.11,1.23,6.71,38.1,19.07,34.76,94.03|101.69|50.88|35.71|,2020/8,N,N,Y
4155,訊映,未知,1.71,1.79,0.52|0.46|0.61|0.27|,2.15,14.65,1.43,0,2.05,5.38,6.51,29.29,31.5,83.55,77.38,32.37|27.71|30.51|29.44|,2020/8,N,Y,N
4160,創源,未知,0.75,0.63,0|0.05|0.01|-0.1|,-0.16,-161.88,0.68,0,-0.14,1.94,-0.54,-2,25.9,11.54,19.65,28.29|27.24|28.36|28.17|28.26|,2020/8,N,N,Y
4161,聿新科,未知,0.11,0.14,0.15|-0.15|-0.29|-0.13|,-430.27,-0.06,0.6,0,-1091.91,1.32,-4029.19,-15598.71,27.1,72.78,64.13,60.67|52.6|38.69|29.62|30.84|,2020/8,N,N,N
4162,智擎,未知,0.29,2.35,0.16|-0.26|0.34|0.1|,0.88,77.5,0.5,0,0.82,1.11,1.2,11.71,68.2,28.86,37.93,221.6|182.33|131.74|88.79|63.46|,2020/8,N,N,N
4163,鐿鈦,未知,9.05,7.23,2.34|1.1|2.04|1.85|,6.16,15.94,5,2,3.82,3.31,3.89,54.57,98.2,10.53,15.27,156.21|118.93|96.07|123.76|119.49|,2020/8,N,N,Y
4164,承業醫,未知,2.83,1.48,1.1|0.55|0.51|0.64|,2.4,16.56,2,0,1.09,3.54,2.74,15.57,39.75,21.05,24.03,49.65|40.68|33.88|40.27|38.96|,2020/8,N,N,Y
4173,久裕,未知,1.36,0.75,0.24|0.31|0.36|0.3|,1.54,14.58,0.6,0,1.62,2.82,7.22,23.14,22.45,34.74,33.31,21.41|20.5|18.03|18.46|21.02|,2020/8,Y,N,Y
4175,杏一,未知,4.63,4.11,1.06|1.23|1.69|0.54|,4.58,15.33,3.6,0,3.51,4.04,5,50.14,70.2,37.02,44.68,83.77|70.94|61.33|69.38|71.73|,2020/8,N,N,N
4183,福永生技,未知,0.77,0.74,0.27|0.14|0.18|0.59|,1.62,14.07,0.7,0,2.04,3.08,8.95,29.14,22.8,31.66,31.27,23.71|17.48|17.15|20.02|,2020/8,Y,N,Y
4190,佐登-KY,未知,8.05,6.26,1.51|2.76|-0.26|0.9|,1.39,62.73,4,0,0.92,4.2,1.06,13.14,87.2,69.18,74.78,98.83|71.62|96.5|108.79|84.35|,2020/8,N,N,N
4205,中華食,未知,3.53,3.03,1.05|0.93|0.98|0.98|,4.08,21.99,3,0,3.27,3.53,3.65,46.71,89.7,62.43,63.48,43.03|59.82|66.53|77.01|87.68|,2020/8,N,N,N
4207,環泰,未知,0.37,0.76,0.09|0.14|0.33|0.2|,0.78,14.62,0.37,0,0.52,3.93,4.56,7.43,11.4,51.95,51.62,10.67|11.77|12.93|11.26|10.43|,2020/8,N,N,N
4303,信立,未知,1.63,2.4,0.28|0.14|-1.14|0.66|,-0.86,-26.28,1.2,0,-1.25,7.72,-5.53,-17.86,22.6,29.46,47.47,13.96|51.51|109.42|22.11|20.37|,2020/8,N,N,N
4305,世坤,未知,2.34,2.79,0.58|0.29|0.72|0.2|,1.84,17.5,2.1,0,1.54,6.72,4.78,22,32.2,67.22,47.88,28.91|31.68|33.7|37.05|34|,2020/8,N,N,N
4306,炎洲,未知,-0.99,0.39,0.01|-1.08|-0.34|0.64|,0.63,23.02,0.31,0,0.21,3.08,1.45,3,14.5,37.68,53.09,12.72|13.28|15.94|12.83|11.44|,2020/8,N,N,N
4401,東隆興,未知,1.75,3.49,0.52|0.23|0.23|-0.12|,0.25,104.4,1.2,0,0.2,4.38,0.77,2.86,26.1,30.08,34.85,87.52|80.78|53.64|44.25|29.33|,2020/8,N,N,N
4416,三圓,建材營造業,-3.26,1.67,-0.33|-2.25|-0.4|-0.24|,-1.14,-70.18,1,0,0.73,2.89,0.91,10.43,80,50.14,37.52,79.96|81.73|79.04|72.62|80.6|,2020/8,N,N,N
4417,金洲,未知,3.59,3.78,0.85|1.07|0.28|1.03|,2.89,10.8,2,0,1.53,5.78,4.9,21.86,31.2,43.66,62.35,35.7|36.64|34.74|36.5|31.36|,2020/8,N,N,N
4420,光明,未知,13.64,4.19,0.16|-0.12|-0.4|-0.52|,-1.66,-14.01,1,0,-1.36,4.44,-5.85,-19.43,23.25,37.13,29.38,33.36|26.96|24.96|34.38|24.91|,2020/8,N,N,N
4426,利勤,未知,2.16,3.18,0.82|0.07|0.16|-0.42|,-0.44,-68.07,0.48,0.72,-0.08,0.8,-0.27,-1.14,29.95,15.68,22.99,147.89|74.7|43.09|56.43|33.98|,2020/8,N,N,Y
4430,耀億,其他業,6.97,2.73,6.74|-0.42|-0.03|-0.52|,-1.23,-19.63,1.5,0,-1.1,4.41,-4.55,-15.71,24.15,44.19,41.59,26.23|24.42|26.71|32.21|26.47|,2020/8,N,N,N
4433,興采,未知,0.41,1.18,0.32|-0.76|0.41|6.91|,14.52,3.12,0.99,0,15.44,2.81,34.08,220.57,45.3,21.38,29.75,30.99|24.15|21.44|36.43|34.47|,2020/8,N,N,Y
4438,廣越,未知,9.73,7.97,6.5|0.14|-0.53|2.35|,4.52,24.89,7.5,0,3.63,4.02,3.23,51.86,112.5,26.37,30.1,152.11|159.01|123.78|145.38|128.84|,2020/8,N,N,N
4506,崇友,未知,3.84,3.5,0.88|0.89|1.12|0.88|,4.42,12.71,2.7,0,3.19,4.83,5.68,45.57,56.2,42.09,38.68,31.16|43.66|57.43|58.53|57.71|,2020/8,N,N,N
4526,東台,未知,0.23,0.69,0.01|-0.26|-0.52|0.06|,-0.54,-24.35,0.2,0,-0.48,2.22,-3.65,-6.86,13.15,61.92,69.75,23.23|21.11|19.82|17.93|13.54|,2020/8,N,N,N
4527,方土霖,未知,2.14,2.58,0.4|1.05|0.28|1.14|,3.06,9.17,1.6,0,2.3,6.39,8.2,32.86,28.05,47.3,45.08,25.74|31.44|31.32|27.26|25|,2020/8,Y,N,N
4528,江興鍛,未知,3.06,3.63,0.8|0.77|0.4|0.56|,2.02,20.05,1.8,0,1.1,3.62,2.72,15.71,40.5,18.11,31.06,48.4|66.1|61.74|51.33|40.61|,2020/8,N,N,Y
4532,瑞智,未知,1.3,2.05,0.25|0.19|0.27|0.42|,1.42,14.3,0.5,0,1.02,5.09,5.02,14.57,20.3,57.96,64.05,29.09|32.02|28.61|24.69|18.77|,2020/8,N,N,N
4533,協易機,未知,0.12,0.56,-0.05|0.17|0.04|-0.05|,-0.03,-376.67,0.25,0,-0.03,3.58,-0.27,-0.43,11.3,46.97,51.66,13.77|13.49|11.76|11.38|11.17|,2020/8,N,N,N
4535,至興,未知,0.73,2.32,0.29|0.01|0.32|0.14|,0.67,36.34,1,0,0.58,4.61,2.38,8.29,24.35,60.15,53.82,42.44|43.36|39.09|30.65|25.24|,2020/8,N,N,N
4538,大詠城,未知,0.97,1.42,0.22|0.22|0.09|0.14|,0.4,39,0.2,0.6,0.25,3.94,1.6,3.57,15.6,47.1,56.61,18.14|15.21|,2020/8,N,N,N
4541,晟田,其他業,1.02,0.51,0.41|0.12|-0.11|-0.37|,-0.87,-22.13,0.72,0,-0.23,2.49,-1.19,-3.29,19.25,41.65,36.55,31.42|25.96|29.27|28.98|20.13|,2020/8,N,N,N
4542,科嶠,電子零組件業,1.61,1.34,0.73|-0.08|0.17|0.1|,0.63,34.92,1.2,0,0.15,5.22,0.68,2.14,22,72.35,62.78,17.22|30.58|25.51|24.51|23.04|,2020/8,N,N,N
4543,萬在,未知,0.32,1.11,0.11|-0.2|-0.03|0.08|,0.09,181.67,0.71,0,0.09,3.56,0.55,1.29,16.35,63.06,65.29,24.36|20.35|20.49|20.04|15.44|,2020/8,N,N,N
4545,銘鈺,電子零組件業,0.18,2.03,0.27|0.2|-0.33|-0.02|,-0.75,-42.4,0.35,0,-0.8,3.89,-2.52,-11.43,31.8,50.38,42.25,59.72|40.47|33.5|24.25|27.73|,2020/8,N,N,N
4549,桓達,未知,4.98,4.5,1.33|0.97|0.58|1.55|,4.37,16.43,4,0,3.38,4.14,4.71,48.29,71.8,27,29.43,76.56|86.27|88.46|84.9|72.92|,2020/8,N,N,N
4550,長佳,未知,2.77,1.91,0.73|0.23|0.24|0.15|,1.04,21.88,1.5,0.2,0.79,6.67,3.47,11.29,22.75,66.75,64.68,21.9|20.85|17.89|20.45|25.77|,2020/8,N,N,N
4554,橙的,其他電子業,0.25,1.38,0.23|0.01|-0.1|-0.3|,-0.88,-26.25,0.1,0,-0.49,1.81,-2.12,-7,23.1,70.35,64.58,63.68|36.13|22.06|19.47|19.55|,2020/8,N,N,N
4555,氣立,未知,0.66,2.3,0.24|0.04|0.24|0.71|,1.63,30.12,1.2,0,1.6,3.33,3.26,22.86,49.1,31.67,34.46,65.51|62.8|68.56|55.03|50|,2020/8,N,N,N
4556,旭然,其他業,1,0.88,0.2|0.49|0.08|0.32|,0.89,41.01,0.7,0,0.74,2.04,2.03,10.57,36.5,50.76,58.49,33.37|30.94|32.31|33.23|34.6|,2020/8,N,N,N
4557,永新-KY,未知,5.41,5.77,1.47|1.06|1.05|0.95|,4.34,14.06,5,0,3.81,6.72,6.25,54.43,61,29.03,30.39,71.67|78.51|68.36|71.29|65.47|,2020/8,N,N,N
4561,健椿,未知,0.44,1.37,-0.06|0.01|-0.05|0.25|,0.42,57.86,0.25,0,0.21,1.74,0.86,3,24.3,45.23,49.77,35.49|25.87|24.65|,2020/8,N,N,N
4564,元翎,未知,2.8,2.52,0.68|0.19|0.4|0.22|,1.21,25.79,2.2,0,0.95,4.36,3.04,13.57,31.2,19.78,29.36,55.89|33.78|,2020/8,N,N,Y
4566,時碩工業,未知,3.29,3.1,1.15|0.32|0.84|-0.12|,1.46,25.34,1.64,0,0.81,3.68,2.19,11.57,37,26.06,41.39,52.14|46.96|39.8|,2020/8,N,N,N
4706,大恭,未知,1.03,1.48,0.29|0.14|0.22|0.14|,0.73,22.33,0.6,0,0.53,4.87,3.25,7.57,16.3,89.61,73.74,19.85|21.95|20.11|19.1|16.56|,2020/8,N,N,N
4707,磐亞,未知,1,0.86,0.34|0.24|0.15|0.15|,0.64,18.12,0.15,0.55,0.08,1.04,0.69,1.14,11.6,64.51,59.46,8.54|9.72|10.62|9.94|11.68|,2020/8,N,N,N
4711,永純,未知,0.55,0.88,0.25|0.21|0.25|0.09|,0.68,19.63,0.6,0,0.76,5.14,5.69,10.86,13.35,26.73,36.24,15.95|19.45|16.46|14.77|13.58|,2020/8,N,N,N
4714,永捷,未知,1.01,0.52,0.46|0.28|0.68|-0.13|,-0.6,-23.67,0.1,0.87,-0.02,3.83,-0.14,-0.29,14.2,42.49,55.32,9.47|14.43|14.07|14.86|14.71|,2020/8,N,N,N
4716,大立,未知,0.43,0.41,0.25|0.23|-0.08|0.13|,0.11,134.09,0.51,0,0.08,2.01,0.54,1.14,14.75,35.17,37.69,10.6|21.76|21.24|15.22|14.62|,2020/8,N,N,N
4720,德淵,未知,0.5,0.68,0.1|0.09|-0.13|0.19|,0.59,23.9,0.3,0,0.33,2.97,2.34,4.71,14.1,40.77,53.66,15.96|14.4|13.85|13.74|13.79|,2020/8,N,N,N
4721,美琪瑪,未知,2.92,2.48,0.94|0.68|0.44|0.38|,1.64,40.37,2.44,0,1.4,3.14,2.11,20,66.2,36.07,44.08,31.67|70.16|91.22|71.34|57.56|,2020/8,N,N,N
4722,國精化,未知,2.57,3.14,0.62|0.6|0.55|0.62|,2.27,12.64,1.8,0,1.53,6.4,5.33,21.86,28.7,91.24,89.51,34.88|32.93|31.42|28|26.58|,2020/8,N,N,N
4728,雙美,未知,1.84,1.18,1.08|-0.27|1.03|1.12|,4.65,13.74,1.5,0,5,1.52,7.82,71.43,63.9,18.13,18.07,43.8|34.54|34.68|75.02|71.41|,2020/8,Y,N,Y
4735,豪展,未知,4.2,2.98,1.52|0.96|0.91|2.41|,10.85,9.4,2.7,0,6.95,4.01,6.81,99.29,102,18.9,25.9,33.55|44.35|40.81|42.89|75.6|,2020/8,N,Y,Y
4736,泰博,未知,8.03,7.39,1.82|2.97|4.15|6|,21.66,8.91,6.43,0,17.39,3.92,9.01,248.43,193,17.99,20.68,120.92|98.93|138.22|146.85|205.84|,2020/8,Y,Y,Y
4737,華廣,未知,1.85,2.27,0.1|0.96|-0.14|-0.26|,-0.93,-80.32,1.99,0,-1.07,4.77,-1.43,-15.29,74.7,41.21,48.14,49.85|62.26|52.81|55.23|72.23|,2020/8,N,N,N
4739,康普,未知,1.4,3.23,0.68|0.37|0.15|0.04|,0.51,119.61,1.23,0,0.36,3.11,0.59,5.14,61,30.51,33.2,121.3|109.59|82.23|59.31|,2020/8,N,N,N
4741,泓瀚,未知,1.18,2.45,0.5|0.18|0.32|-0.26|,0.15,207,1.5,0,0.16,5.32,0.52,2.29,31.05,15.12,21.25,72.42|55.21|33.75|27.77|,2020/8,N,N,Y
4744,皇將,未知,2.05,1.63,0.5|0.7|-0.39|0.91|,1.07,28.83,1.64,0,0.98,4.44,3.18,14,30.85,9.14,10.83,33.09|31.1|35|,2020/8,N,N,Y
4745,合富-KY,未知,3.14,3.75,0.69|-0.13|0.16|1.18|,2.67,11.78,1.2,0.5,1.01,2.51,3.21,14.43,31.45,38.33,39.18,59.6|43.6|43.79|45.1|34.4|,2020/8,N,N,N
4747,強生,未知,2.15,2.05,0.45|0.73|0.61|0.59|,2.54,14.88,1.8,0,2.16,4.35,5.71,30.86,37.8,22.5,16.96,39.43|37.04|39.8|39.94|41.14|,2020/8,N,N,Y
4754,國碳科,未知,3.12,3.1,0.61|0.57|0.59|0.48|,1.85,23.08,1.5,1.5,1.24,4.4,2.9,17.71,42.7,60.19,50.22,56.1|45.67|44.32|55.56|50.88|,2020/8,N,N,N
4755,三福化,未知,3.58,3.53,0.89|0.95|1|1.03|,4.2,16.24,2.5,0,2.31,4.69,3.39,33,68.2,19.03,20.93,27.22|38.16|48.88|44.2|53.17|,2020/8,N,N,Y
4760,勤凱,其他電子業,1.03,1.6,0.13|0.39|0.96|1.27|,4.5,16.13,0.8,0.4,2.98,2.69,4.1,42.57,72.6,47.28,36.94,27.65|70.33|,2020/8,N,N,N
4763,材料-KY,未知,6.27,5.38,2.01|1.77|2.5|1.96|,9.28,14.01,4.75,0,8.57,3.46,6.59,122.43,130,68.71,51.9,110.47|164.89|129.25|135.51|121.5|,2020/8,N,N,N
4766,南寶,未知,10.19,8.19,2.87|2.79|1.95|1.95|,7.93,16.27,6,0,5.31,3.58,4.12,75.86,129,78.96,72.07,113.71|151.09|134.13|,2020/8,N,N,N
4767,誠泰科技,未知,1.92,1.56,0.53|0.6|0.37|0.35|,1.5,13.2,1,0,1.24,5.36,6.26,17.71,19.8,28.57,23.84,18.25|21.62|22.64|,2020/8,N,N,Y
4904,遠傳,未知,2.68,3.18,0.67|0.66|0.67|0.69|,2.75,22.58,3.25,0,3.14,4.76,5.06,44.86,62.1,67.14,58.35,73.12|73.77|74.52|73.76|65.65|,2020/8,N,N,N
4905,台聯電,未知,1.44,4.69,1.12|-0.98|-3.75|2.87|,-1.85,-25.24,1.52,0,-0.82,2.9,-1.76,-11.71,46.7,47.31,36.99,48.15|52.27|66.12|60.61|49.81|,2020/8,N,N,N
4906,正文,未知,0.57,1.04,0.25|-0.22|-0.35|0.43|,0.32,84.38,0.5,0,0.36,3.46,1.33,5.14,27,31.43,37.03,18.82|26.49|24.62|25.38|23.03|,2020/8,N,N,N
4907,富宇,建材營造業,1.35,4.03,0.03|1.24|0.27|-0.18|,0.43,66.28,1.2,0,0.22,5.52,0.77,3.14,28.5,41.74,47.52,10.12|24.43|26.05|23.32|26|,2020/8,N,N,N
4908,前鼎,未知,1.66,1.39,0.49|0.31|0.52|0.43|,1.81,18.26,1.1,0,1.03,3.29,3.12,14.71,33.05,21.34,26.9,17.79|18.83|20.8|29.67|36.64|,2020/8,N,N,Y
4909,新復興,未知,0.03,1.35,-0.07|-0.27|-0.05|0.49|,0.75,22.13,0.3,0,1.6,3.87,9.64,22.86,16.6,33.1,49.49,23.5|20.9|17.72|20.62|15.66|,2020/8,Y,N,N
4912,聯德控股-KY,電子零組件業,5.14,5.53,1.29|2.16|0.83|2.06|,7.16,17.25,2.53,0,6.32,2.92,5.12,90.29,123.5,22.2,33.94,81.5|166.75|173.09|131.81|96.14|,2020/8,N,N,Y
4915,致伸,電子零組件業,4.8,4.41,1.72|1.35|0.62|1.13|,3.49,13.01,2.4,0,1.95,4.71,4.3,27.86,45.4,65.59,52.58,41.86|62.61|57.47|58.67|47.04|,2020/8,N,N,N
4916,事欣科,未知,4.02,1.92,2.62|0.4|0.45|-1.34|,-6.38,-3.3,2,0,-11.57,4.16,-54.96,-165.29,21.05,18.55,31.42,37.92|34.4|33.69|34.19|26.23|,2020/8,N,N,Y
4919,新唐,半導體業,2.53,2.9,0.85|0.65|0.04|1.16|,3.53,12.75,1.2,0,2.53,4.19,5.62,36.14,45,45.31,45.86,34.17|52.88|56.6|47.98|40.44|,2020/8,N,Y,N
4927,泰鼎-KY,電子零組件業,4.46,4.1,1.4|0.22|1.5|1.83|,6.75,11.42,3,0,3.61,4.17,4.68,51.57,77.1,57.16,39.99,36.3|26.53|26.68|46.42|63.08|,2020/8,N,N,N
4930,燦星網,未知,0.46,0.4,0.66|-0.12|-0.11|0.65|,0.59,24.32,0.5,0,0.61,3.44,4.25,8.71,14.35,59.67,62.51,13.26|13.67|11.81|11.18|10.39|,2020/8,N,N,N
4933,友輝,未知,1.22,1.57,0.35|-0.04|0.29|0.56|,1.89,16.85,1.09,0,1.82,5.05,5.71,26,31.85,47.42,53.45,22.5|25.36|20.37|28.02|23.46|,2020/8,N,N,N
4935,茂林-KY,未知,2.63,3.74,1.11|0.96|0.76|2.82|,9.03,12.68,1.5,0,4.72,3.09,4.12,67.43,114.5,15.54,21.83,69.21|49.54|37.56|62.39|124.27|,2020/8,N,N,Y
4938,和碩,未知,7.4,6.81,2.41|3.15|0.59|2.71|,8.57,7.46,4.5,0,5.69,5.96,8.9,81.29,63.9,53.78,42.89,74.62|84.97|64.86|55.89|63.66|,2020/8,Y,N,N
4939,亞電,電子零組件業,0.36,0.9,0.14|0.22|0.03|0.18|,0.48,33.33,0.25,0,0.28,2.2,1.75,4,16,65.97,66,7.35|15.4|20.84|18.81|13.78|,2020/8,N,N,N
